contract,status,wall clock time (h:)m:ss,input-type,abi,execs,wall clock time (h:)m:ss,coverage,execs_per_sec,queue,bugtypes,crashes,run_unix,bugs
0xcc1A13B76270A20A78F3beF434BDEB4a5eeC6a31,success,25:00.07,,True,34571161.0,25:00.07,81.437125748503,23047.440666666665,608,1,,1500.0,
0xd022969da8A1aCe11E2974b3e7EE476c3f9F99c6,success,20:00.05,,True,27185298.0,20:00.05,80.0,22654.415,386,1,,1200.0,
0xd022969da8A1aCe11E2974b3e7EE476c3f9F99c6,success,25:00.08,,True,23832525.0,25:00.08,80.0,15888.35,393,1,,1500.0,
0xd022969da8A1aCe11E2974b3e7EE476c3f9F99c6,success,25:00.03,,True,23190871.0,25:00.03,80.0,15460.580666666667,367,1,,1500.0,
0xd37e1d4509838d65873609158D1471627F697874,success,25:00.10,,True,50662745.0,25:00.10,79.69924812030075,33775.16333333333,615,1,,1500.0,
0xd37e1d4509838d65873609158D1471627F697874,success,20:00.08,,True,37541516.0,20:00.08,79.69924812030075,31284.596666666668,647,1,,1200.0,
0xd37e1d4509838d65873609158D1471627F697874,success,25:00.04,,True,44475986.0,25:00.04,79.69924812030075,29650.657333333333,703,1,,1500.0,
0xdd1D5CE9f8e26A3f768b1C1E5C68DB10A05D5fC0,success,25:00.08,,False,27808027.0,25:00.08,63.609467455621306,18538.684666666668,844,1,,1500.0,
0xdd1D5CE9f8e26A3f768b1C1E5C68DB10A05D5fC0,success,25:00.21,,True,27447008.0,25:00.21,65.53254437869823,18298.005333333334,903,1,,1500.0,
0xdd1D5CE9f8e26A3f768b1C1E5C68DB10A05D5fC0,success,20:00.04,,True,6574128.0,20:00.04,65.23668639053254,5478.44,557,1,,1200.0,
0xf6e7ec5D6983FAFd6eB14C2A20C2dd354e09ce9B,success,0:18.74,,True,518764.0,0:18.74,87.3015873015873,28820.222222222223,164,1,1,18.0,[BUG] balance gain | 1 wei (compare total 37662610412320084583014736539245998496614132666784207077377 > 37662610412320084583014736539245998496614132666784207077376 wei expected)
0xf6e7ec5D6983FAFd6eB14C2A20C2dd354e09ce9B,success,0:32.75,,True,1163060.0,0:32.75,89.68253968253968,36345.625,196,1,1,32.0,[BUG] balance gain | 1 wei (compare total 37662610412320084583014736539245998496614132666784207077377 > 37662610412320084583014736539245998496614132666784207077376 wei expected)
0xf6e7ec5D6983FAFd6eB14C2A20C2dd354e09ce9B,success,0:26.99,,True,886443.0,0:26.99,83.33333333333333,34093.96153846154,238,1,1,26.0,[BUG] balance gain | 1 wei (compare total 37662610412320084583014736539245998496614132666784207077377 > 37662610412320084583014736539245998496614132666784207077376 wei expected)
0xfE2A80103c9037354a04094972fC7ECaB747272B,success,20:00.08,,True,38356254.0,20:00.08,60.0,31963.545,606,1,,1200.0,
0xfE2A80103c9037354a04094972fC7ECaB747272B,success,25:00.04,,True,40475506.0,25:00.04,60.0,26983.670666666665,618,1,,1500.0,
0xfE2A80103c9037354a04094972fC7ECaB747272B,success,25:00.03,,True,38284244.0,25:00.03,60.0,25522.829333333335,593,1,,1500.0,
